id,premise,hypothesis,label
49c9020c8c384cf4,जनसंख्या वृद्धि  विपरीत दिशा में  प्रदूषण की तरह है।,जनसंख्या वृद्धि और प्रदूषण के बीच कोई संबंध नहीं है।,contradiction
8e92f3c3c03b4b1f,और ऐसे कई करणे है क्युकी मताये दवाईयों पर होती है ।,mothers to dawaiyaan leti hai,entailment
05e4775107b94624,"उदाहरण के तौर पर, मौजूदा संपत्तियों पर लाभ किसी नियोक्ता की अपने पेंशन दायित्व के प्रति आवश्यक योगदान की पूँजी को कम कर देता है.",दिन के सभी ऐसेट्स के मूल्य में गिरावट आई है।,contradiction
e315477be29c4023,स्लोप विरुद्ध.  बहस ज्यादातर उन मसलों पर है जो गर्भपात से संबंधित हैं।,गर्भपात बहस एक बड़ा मुद्दा है।,entailment
defc1c2e6c6e4bef,आल्टर के नीचे चांदी का एक प्लेट है जिसके चारों ओर छोटे छोटे छेद है जो परंपरा के अनुसार  चोरों के लिए जीसस के क्रॉस के दोनों ओर से उठाया गया था।,जो पुरुष यीशु के बगल में थे वे निर्दोष थे।,contradiction
5762aa1bd1254c97,"प्रमुख संगठनों में, उभरती  हुई व्यावसायिक प्रक्रियाएं यह निर्धारित करने में एक अहम भूमिका निभाती हैं की बदलती हुई आवश्यकताओं को पूरा करने के लिए इन सूचना प्रबंधन संबंधी उत्तरदायित्वों की संरचना किस प्रकार की जाए।",व्यापार प्रक्रिया स्थिर नहीं हैं; वे समय के साथ विकसित होते हैं।,entailment
f4f10aa0e4df4f1e,"आह, अब, क्या वह वास्तव में नहीं कर सकता? वह रोया।",उन्होंने कभी सवाल नहीं उठाया क्योंकि वह चुप रहे।,contradiction
359fe50139bb4adb,समूह पहले से चर्चा की गई और/या कार्यान्वित पहल की स्थिति पर चर्चा करने और वर्तमान समस्याओं और संभावित पहलों का प्रस्ताव और चर्चा करने के लिए हर महीने मिलता है।,समूह केवल साल में दो बार मिले।,contradiction
13a69d5ea1f04ecc,"कुलेबरा अमेरिकी अधिग्रहण तक स्पेनिश वर्जिन आइलैंड के रूप में जाना जाता था, यह अमेरिका के वर्जिन द्वीप समूह में पर्टो रीको और सेंट थॉमस के बीच आधे रास्ते में पडता है।",कुलेबरा यूएस वर्जिन द्वीप समूह में प्वेर्टो रिको और सेंट थॉमस के बीच कहीं है।,neutral
fdbe95e56e3444a0,"वृद्धिशील क्रय पहले ही समस्याओं को पहचानकर जोखिमों को सीमित कर सकता है, जो आसान परिवर्तन या सुधार के लिए अनुमति देता है।",बढ़ती खरीद जोखिम को बढाएगी ।,contradiction
25040281248d462d,"घोषणा में मनाया जाने वाले आनंद की प्राकृतिकता, कानून की परिभाषा के प्रख्यात प्राणी 'प्रॉपर्टी' को राह दिखाती है |",घोषणापत्र का कहना है कि आपको धन का पीछा करना चाहिए।,contradiction
40e4345e91914bec,जगमगाता हुआ ग्रीन सी अराजक शासन में ऊपर उठकर आ गया।,समुद्र गहरा नीला और कांच जैसा चिकना था।,contradiction
78f350a3a1e34f8b,"पचुकास पचुकोस की गर्लफ्रेंड्स थीं, लेकिन उनके पास अपने खुद का ड्रेस स्टाइल भी था।",पचुकास पचुकोस जानता था।,entailment
e0e2d3eccbd64e2d,निगरानी सूची पर पहचाने जाने से बचने के लिए आतंकवादियों द्वारा गलत पहचान का इस्तेमाल किया जाता है।,आतंकवादियों को एक जाली पहचान-पत्र (आईडी) बनाने में केवल $25 की लागत लगती है।,neutral
9453d53e2f4f499a,"मुझे अपने आदेशों के लिए कर्नल बिशप के पास वापस जाना चाहिए, उसने उन्हें सूचित किया।",उन्होंने उनसे कहा कि वह कल अपने आदेश के लिए कर्नल बिशप के पास जाएंगे।,neutral
e7f25fc51a534f0c,"वह क्यूबाई संकट का एकमात्र हताहत था,संकट, और उह, kaiser,की  वह तस्वीरें लेकर वॉशिंगटन में सीधे एंड्रयूज वायु सेना के लिए उड़ान भरी।",क्युबन संकट में १०००० लोग मारे गए।,contradiction
c0737d5b89064922,आपका निवेश संग्रहालय के सभी पहलुओं की उच्च गुणवत्ता जारी रखता है और नई उपलब्धियां संभव बनाता है।,निवेश किसी भी तरह से संग्रहालय को प्रभावित नहीं करते हैं |,contradiction
9f98e3f8b7784778,उह आप जानते हैं कि वे चले गए होंगे और उह वहां उतनी गतिविधियां नहीं होगी जो आप करते हैं उह,"एक बार उनके जाने के बाद, गतिविधियां भी होगी।",entailment
